bird_id,bird_model_id,start_odometer,end_odometer,start_timestamp,end_timestamp,rider_id,rider_age,ride_rating,ride_neighborhood,ride_triggered_maintenance
438,2,0,10.59,1522598060,1522599854,4,56,5,santa monica,FALSE
214,2,40.35,57.52,1522582049,1522585735,27,53,1,culver city,FALSE
0,2,0,19.2,1522554270,1522556831,3,18,5,venice,FALSE
449,1,44.92,76.56,1522647579,1522654497,36,55,4,santa monica,FALSE
226,2,0,34.1,1522625579,1522630726,28,51,4,downtown,FALSE
281,1,0,3.83,1522616593,1522618282,53,45,5,pasadena,FALSE
266,2,0,35.46,1522603440,1522618179,76,48,5,pasadena,FALSE
486,2,0,41.81,1522570801,1522597730,48,52,4,echo park,FALSE
225,1,0,33.49,1522622113,1522630124,56,31,4,downtown,FALSE
179,2,0,17.94,1522551550,1522555579,98,52,2,brentwood,FALSE
142,1,0,9.57,1522578471,1522580107,85,59,1,playa vista,FALSE
47,1,0,23.22,1522610740,1522616765,52,55,3,ucla,TRUE
39,2,0,44.84,1522553896,1522573326,42,28,2,ucla,FALSE
255,1,54.62,83.18,1522571720,1522580320,15,21,1,culver city,FALSE
486,2,41.81,47.15,1522598235,1522598887,30,24,4,brentwood,TRUE
208,2,0,35.23,1522548356,1522554016,46,47,5,west hollywood,FALSE
37,1,0,8.25,1522578172,1522580243,85,59,1,ucla,FALSE
164,1,17.46,40.78,1522573760,1522580244,75,27,4,playa vista,FALSE
217,1,0,28.77,1522613691,1522623164,79,33,3,playa vista,FALSE
85,1,0,43.62,1522545788,1522551562,2,64,4,pasadena,FALSE
479,2,0,13.6,1522571409,1522573475,60,63,5,hollywood,FALSE
99,1,0,1.43,1522623564,1522623969,60,63,5,playa vista,FALSE
483,2,0,36.04,1522604224,1522618164,8,33,5,brentwood,FALSE
389,1,0,39.17,1522614589,1522619389,5,56,3,venice,TRUE
19,2,27.42,60.27,1522559263,1522567452,3,18,5,culver city,FALSE
177,1,0,41.68,1522625104,1522635339,56,31,1,brentwood,FALSE
358,1,0,21.34,1522608414,1522617230,96,19,1,culver city,FALSE
4,2,0,36.59,1522565329,1522571118,12,51,1,downtown,FALSE
482,2,0,38.63,1522589029,1522596717,49,29,4,santa monica,TRUE
211,1,22.64,29.04,1522575143,1522576787,30,24,5,pasadena,FALSE
91,1,0,22.52,1522587077,1522598119,17,27,5,ucla,FALSE
263,1,0,41.18,1522604112,1522609592,29,54,5,culver city,TRUE
236,2,0,26.55,1522561965,1522566911,34,36,1,santa monica,TRUE
350,1,0,18.36,1522616208,1522621928,48,52,2,brentwood,FALSE
447,2,0,25,1522576394,1522590694,41,31,3,playa vista,TRUE
316,2,0,4.63,1522619467,1522620311,18,55,5,pasadena,FALSE
96,1,0,6.46,1522623478,1522624424,66,36,1,brentwood,FALSE
155,2,0,44.07,1522561267,1522583668,1,47,5,pasadena,FALSE
488,2,0,26.54,1522553847,1522559323,56,31,5,culver city,FALSE
119,1,0,30.04,1522570638,1522578393,99,54,4,culver city,FALSE
82,2,0,34.16,1522588810,1522595070,54,37,5,downtown,TRUE
21,1,0,38.49,1522584219,1522602541,53,45,5,hollywood,FALSE
475,2,0,18.3,1522593021,1522595580,53,45,3,playa vista,TRUE
181,2,15.93,45.56,1522559809,1522565221,88,35,5,playa vista,FALSE
50,1,0,35.12,1522560542,1522580767,91,40,1,west hollywood,FALSE
239,1,0,14.4,1522613562,1522615568,92,42,5,brentwood,FALSE
101,2,9.86,45.44,1522577008,1522582357,18,55,1,santa monica,FALSE
116,1,23.12,31.81,1522612588,1522614060,12,51,1,santa monica,FALSE
348,1,9.42,18.99,1522574851,1522577874,30,24,4,santa monica,FALSE
370,1,0,2.22,1522563142,1522563690,52,55,5,culver city,FALSE
98,1,66.02,89.74,1522629370,1522633784,44,24,1,pasadena,TRUE
150,1,38.87,57.34,1522580795,1522590227,96,19,5,pasadena,FALSE
92,1,0,30.47,1522589215,1522592896,94,52,2,downtown,TRUE
374,2,0,12,1522564006,1522565724,30,24,5,hollywood,TRUE
318,2,0,14.7,1522609692,1522619813,30,24,5,ucla,FALSE
19,2,60.27,83.51,1522573922,1522579810,25,50,5,ucla,FALSE
372,2,0,18.19,1522618366,1522620616,97,49,4,santa monica,FALSE
216,1,0,24.24,1522571140,1522574196,68,59,5,culver city,TRUE
224,2,0,42.64,1522548383,1522560565,61,45,5,west hollywood,TRUE
200,1,0,3.32,1522577080,1522577587,88,35,5,culver city,FALSE
457,1,0,24.62,1522614139,1522619778,61,45,5,venice,FALSE
359,1,0,24.89,1522542495,1522546220,1,47,3,hollywood,FALSE
416,2,19.06,47.08,1522629512,1522634457,79,33,5,playa vista,FALSE
354,1,0,5.07,1522570537,1522573231,78,55,1,ucla,FALSE
37,1,8.25,9.91,1522582837,1522583074,11,64,4,venice,FALSE
202,1,53.1,96.82,1522611932,1522618732,56,31,4,santa monica,FALSE
479,2,13.6,18.77,1522579729,1522580402,8,33,5,culver city,TRUE
58,2,0,3.93,1522629725,1522632298,5,56,4,brentwood,FALSE
73,1,0,22.76,1522633843,1522637035,49,29,5,west hollywood,FALSE
390,1,0,7.56,1522601875,1522603145,52,55,5,pasadena,FALSE
259,1,0,9.22,1522600246,1522601573,89,24,1,culver city,TRUE
32,1,0,18.69,1522594343,1522597103,42,28,2,hollywood,FALSE
379,2,0,34.86,1522555757,1522560868,49,29,1,downtown,FALSE
32,1,18.69,34.5,1522604229,1522606918,39,29,2,hollywood,TRUE
341,2,0,17.03,1522558362,1522566595,51,65,5,culver city,FALSE
99,1,1.43,3.4,1522624293,1522624574,6,55,5,hollywood,FALSE
97,1,0,14.81,1522601938,1522604125,8,33,1,ucla,FALSE
194,1,0,7.7,1522629335,1522630698,12,51,4,brentwood,TRUE
331,1,0,36.82,1522600535,1522605193,40,35,5,brentwood,FALSE
115,2,0,24.07,1522547232,1522551070,97,49,5,echo park,TRUE
186,1,0,6.04,1522564661,1522566046,4,56,5,echo park,FALSE
364,2,0,40.87,1522597585,1522604214,24,21,1,culver city,FALSE
405,1,0,33.54,1522547179,1522553242,34,36,4,playa vista,FALSE
126,2,63.98,65.96,1522615189,1522616126,40,35,3,culver city,TRUE
179,2,17.94,38.94,1522557721,1522563755,92,42,5,ucla,FALSE
176,2,0,43.58,1522626152,1522652418,58,58,5,hollywood,FALSE
299,1,0,13.09,1522604920,1522608654,81,18,4,echo park,FALSE
210,2,40.78,78.31,1522585271,1522595882,35,52,3,santa monica,FALSE
458,2,0,42.43,1522562633,1522581400,69,49,4,echo park,FALSE
243,1,26.67,57.4,1522606789,1522610638,67,38,5,echo park,TRUE
113,1,0,36.53,1522604667,1522611727,64,29,2,ucla,FALSE
282,1,43.92,78.64,1522582513,1522598399,18,55,4,pasadena,FALSE
467,1,0,14.36,1522563661,1522569239,11,64,1,west hollywood,FALSE
355,1,0,35.08,1522616040,1522620351,46,47,1,echo park,FALSE
450,1,0,3.59,1522625185,1522626260,62,22,4,west hollywood,TRUE
215,1,39.74,49.44,1522607418,1522609059,11,64,4,hollywood,FALSE
122,2,42.79,79.71,1522633811,1522652393,68,59,4,hollywood,FALSE
199,2,0,24.69,1522577635,1522580757,98,52,5,hollywood,TRUE
300,1,0,13.64,1522580577,1522583961,82,37,4,echo park,FALSE
382,1,0,37.13,1522566128,1522573114,34,36,3,santa monica,TRUE
465,2,0,22.09,1522567364,1522570658,20,60,5,santa monica,FALSE
434,1,17.91,22.7,1522636978,1522637647,44,24,1,hollywood,FALSE
199,2,24.69,56.72,1522585307,1522594053,24,21,3,hollywood,FALSE
483,2,36.04,49.73,1522620154,1522622633,37,63,4,ucla,TRUE
171,1,0,24.11,1522556778,1522560609,2,64,4,west hollywood,FALSE
85,1,43.62,66.95,1522554939,1522558891,20,60,2,hollywood,FALSE
495,1,0,1.77,1522591619,1522591974,43,36,4,west hollywood,FALSE
232,2,0,5.81,1522543866,1522544914,63,40,5,santa monica,FALSE
86,1,3.45,29.19,1522549646,1522553203,38,48,5,culver city,TRUE
276,1,37.3,54.79,1522602498,1522605691,35,52,1,brentwood,TRUE
340,1,14.85,47.42,1522608864,1522617029,0,47,4,playa vista,FALSE
236,2,26.55,30.66,1522573683,1522574346,59,36,5,downtown,TRUE
168,2,0,2.69,1522631365,1522631764,86,24,2,santa monica,FALSE
282,1,78.64,87.92,1522603643,1522605015,6,55,5,venice,FALSE
77,2,0,11.73,1522628050,1522629827,64,29,4,pasadena,TRUE
269,1,34.47,60,1522617585,1522628279,94,52,1,culver city,FALSE
88,2,0,14.13,1522564249,1522567159,43,36,5,downtown,TRUE
194,1,7.7,42.53,1522633321,1522658122,3,18,5,playa vista,FALSE
103,2,44.2,50.19,1522628035,1522629339,5,56,5,ucla,FALSE
159,1,0,36.22,1522607690,1522612704,50,30,5,pasadena,TRUE
326,2,15.05,34.36,1522614333,1522618623,56,31,5,culver city,FALSE
124,2,0,27.66,1522558524,1522562196,42,28,5,ucla,FALSE
273,1,7.55,29.16,1522612068,1522619197,25,50,5,venice,FALSE
405,1,33.54,45.28,1522553503,1522557268,24,21,5,downtown,TRUE
330,1,0,25.45,1522621702,1522625279,36,55,1,ucla,TRUE
308,2,0,2.47,1522595429,1522596841,13,54,1,hollywood,FALSE
417,2,0,43.52,1522621616,1522639887,17,27,5,brentwood,FALSE
125,1,37.44,65.26,1522569698,1522573956,81,18,5,santa monica,FALSE
495,1,1.77,3.83,1522594017,1522595404,48,52,4,brentwood,FALSE
467,1,14.36,39.55,1522576020,1522581825,24,21,4,pasadena,FALSE
25,2,0,42.41,1522588144,1522593993,52,55,5,brentwood,FALSE
497,2,0,39.11,1522573907,1522580824,49,29,5,downtown,FALSE
331,1,36.82,59.09,1522605823,1522609016,3,18,4,santa monica,FALSE
198,1,0,33.98,1522595677,1522605113,74,58,5,west hollywood,FALSE
100,1,0,17.86,1522609369,1522613736,43,36,5,pasadena,FALSE
280,1,0,5.47,1522605865,1522606624,80,35,5,venice,TRUE
316,2,4.63,14.05,1522624201,1522625599,30,24,5,downtown,TRUE
346,1,40.23,84.93,1522576157,1522598298,98,52,2,santa monica,TRUE
383,2,42.36,61.43,1522616819,1522619274,5,56,2,ucla,FALSE
98,1,89.74,91.81,1522640870,1522641208,0,47,4,brentwood,TRUE
12,1,0,26.34,1522600951,1522605336,56,31,5,hollywood,FALSE
326,2,34.36,73.9,1522618996,1522627846,34,36,3,culver city,FALSE
463,2,0,11.29,1522582255,1522586508,31,53,1,west hollywood,FALSE
483,2,49.73,70.55,1522623199,1522626535,31,53,2,playa vista,TRUE
412,1,0,9.34,1522603882,1522605169,8,33,5,hollywood,FALSE
312,1,0,17.2,1522596490,1522599418,14,41,5,ucla,TRUE
156,2,17.97,31.36,1522562251,1522567022,41,31,2,venice,FALSE
224,2,42.64,55.43,1522564574,1522566197,28,51,4,echo park,TRUE
254,1,0,18.81,1522551324,1522563090,6,55,5,downtown,FALSE
325,1,60.43,69.81,1522653144,1522654942,88,35,5,venice,FALSE
192,2,0,23.86,1522599298,1522602296,94,52,1,ucla,FALSE
72,1,0,18.42,1522575380,1522578820,74,58,2,santa monica,FALSE
476,2,0,2.84,1522559015,1522559422,64,29,5,echo park,FALSE
353,2,1.2,32.33,1522596631,1522612750,98,52,5,brentwood,FALSE
95,2,0,26.15,1522629556,1522634447,94,52,5,west hollywood,TRUE
147,1,5.9,40.02,1522601690,1522612426,77,55,5,santa monica,FALSE
117,1,33.76,62.96,1522623196,1522627413,34,36,5,venice,TRUE
367,1,17.45,61.27,1522637688,1522643457,49,29,2,brentwood,FALSE
251,2,0,42.36,1522586956,1522597015,69,49,4,pasadena,FALSE
416,2,47.08,77.44,1522636068,1522645953,69,49,4,hollywood,FALSE
159,1,36.22,54.62,1522619574,1522626700,61,45,5,brentwood,FALSE
241,1,0,18.7,1522579880,1522586367,17,27,4,downtown,FALSE
364,2,40.87,47.97,1522604409,1522606110,36,55,1,west hollywood,FALSE
267,2,0,29.38,1522565202,1522575510,3,18,4,brentwood,FALSE
181,2,45.56,63.56,1522567643,1522569998,76,48,5,downtown,TRUE
404,1,0,23,1522551252,1522554251,98,52,4,ucla,FALSE
270,1,0,29.38,1522603776,1522613988,6,55,5,west hollywood,TRUE
303,2,0,39.18,1522620020,1522627032,8,33,5,hollywood,TRUE
477,2,0,16.02,1522564534,1522567525,73,20,4,venice,TRUE
348,1,18.99,23.35,1522581366,1522582603,91,40,4,venice,TRUE
69,1,0,41.76,1522549694,1522557959,83,57,1,santa monica,TRUE
335,1,0,32.75,1522600747,1522605253,73,20,4,pasadena,TRUE
114,1,0,28.34,1522618863,1522624693,68,59,5,venice,FALSE
389,1,39.17,46.51,1522625178,1522626566,18,55,4,echo park,FALSE
41,2,29.82,62.89,1522621132,1522625867,9,23,2,echo park,FALSE
360,1,5.64,10.61,1522562386,1522563075,14,41,4,echo park,FALSE
379,2,34.86,42.72,1522562150,1522563171,88,35,4,echo park,FALSE
445,2,33.74,34.98,1522585160,1522585658,75,27,1,brentwood,FALSE
207,1,0,7.75,1522614257,1522615418,16,21,2,hollywood,TRUE
310,1,0,29.87,1522596093,1522603250,52,55,2,venice,FALSE
82,2,34.16,42.27,1522600877,1522602958,97,49,3,downtown,FALSE
375,1,71.37,85.56,1522592344,1522594323,76,48,5,echo park,FALSE
205,2,5.47,10.01,1522553765,1522554488,10,36,3,venice,FALSE
254,1,18.81,58.07,1522564595,1522569501,42,28,5,brentwood,FALSE
285,2,0,15.36,1522612050,1522614855,66,36,5,echo park,TRUE
240,2,41.59,63.64,1522630769,1522636974,85,59,4,ucla,FALSE
491,1,0,29.44,1522605129,1522608705,97,49,2,brentwood,FALSE
482,2,38.63,67.95,1522601606,1522607571,90,40,5,culver city,FALSE
91,1,22.52,52.3,1522603818,1522611399,96,19,5,culver city,FALSE
22,2,0,31.91,1522586234,1522591667,14,41,2,echo park,FALSE
461,1,0,20.92,1522607381,1522612355,60,63,5,culver city,FALSE
475,2,18.3,51.59,1522600160,1522604446,9,23,1,culver city,TRUE
325,1,69.81,79.53,1522660648,1522664902,25,50,5,brentwood,FALSE
186,1,6.04,36.56,1522566468,1522571970,35,52,1,brentwood,FALSE
389,1,46.51,48.38,1522629025,1522629326,74,58,2,venice,FALSE
134,1,0,2.35,1522590962,1522591605,59,36,5,pasadena,TRUE
347,1,27.14,31.67,1522580880,1522581551,43,36,5,santa monica,FALSE
99,1,3.4,10.7,1522629771,1522631739,26,38,4,west hollywood,FALSE
334,1,7.6,8.82,1522618441,1522619051,69,49,4,culver city,FALSE
120,1,0,21.48,1522620338,1522624654,24,21,1,downtown,FALSE
341,2,17.03,32.43,1522573259,1522576206,60,63,5,santa monica,FALSE
351,1,0,25.55,1522610368,1522613868,95,64,5,santa monica,TRUE
354,1,5.07,12.8,1522578098,1522579133,14,41,4,brentwood,FALSE
233,2,0,20.62,1522556233,1522559088,69,49,5,hollywood,TRUE
177,1,41.68,62.12,1522641244,1522648878,49,29,2,santa monica,FALSE
385,1,0,37.1,1522586053,1522593235,58,58,4,culver city,FALSE
336,1,0,34.88,1522560851,1522565841,28,51,5,ucla,FALSE
27,1,0,34.48,1522571112,1522575575,2,64,1,echo park,TRUE
133,2,0,6.81,1522622276,1522623299,88,35,4,santa monica,FALSE
265,1,0,19.47,1522585814,1522593261,45,33,5,brentwood,FALSE
130,1,19.06,45.46,1522567403,1522570789,40,35,5,santa monica,FALSE
361,1,0,4.87,1522549416,1522551303,43,36,1,downtown,FALSE
179,2,38.94,82.98,1522570848,1522576773,71,64,5,downtown,FALSE
317,1,22.57,37.22,1522571906,1522573797,80,35,5,culver city,FALSE
92,1,30.47,70.29,1522594068,1522605131,41,31,1,ucla,FALSE
385,1,37.1,53.76,1522593528,1522595832,6,55,5,santa monica,FALSE
254,1,58.07,79.11,1522570367,1522573003,54,37,4,echo park,FALSE
461,1,20.92,42.44,1522617474,1522625176,86,24,1,brentwood,FALSE
338,2,0,39.36,1522594433,1522601081,68,59,5,ucla,TRUE
255,1,83.18,97.82,1522585875,1522589682,30,24,2,playa vista,FALSE
324,1,0,41.95,1522549515,1522554677,23,36,4,pasadena,FALSE
11,1,0,34.36,1522616859,1522624632,52,55,5,downtown,TRUE
275,1,0,12.78,1522547942,1522549795,35,52,5,ucla,FALSE
152,1,36.14,55.63,1522582381,1522590305,63,40,4,ucla,FALSE
